n,family,seed,entropy_method,log_H,score_local,comp,height_ratio,width_ratio,neutral_penalty,regime
20,lorentzian_like_2d,1000000,sis,20.52147653207397,-20.47840764318508,0.4842105263157895,0.3,0.25,0.05383611111111112,comp_only
20,lorentzian_like_2d,1000001,sis,20.056195457862305,-20.003315457862307,0.5368421052631579,0.4,0.2,0.06609999999999999,comp_only
20,lorentzian_like_2d,1000002,sis,19.247306655750247,-19.2014157373829,0.5210526315789473,0.35,0.2,0.057363647959183674,comp_only
20,lorentzian_like_2d,1000003,sis,21.4254369153926,-21.361034693170378,0.4842105263157895,0.3,0.3,0.08050277777777776,comp_only
20,lorentzian_like_2d,1000004,sis,20.307090538965323,-20.239614983409766,0.5578947368421052,0.3,0.3,0.08434444444444444,comp_only
20,lorentzian_like_2d,1000006,sis,21.72003697416742,-21.67354197416742,0.4789473684210526,0.25,0.3,0.05811875,comp_only
20,lorentzian_like_3d,1000005,sis,26.17785785888778,-26.12890285888778,0.4368421052631579,0.2,0.35,0.061193749999999984,comp_only
20,lorentzian_like_3d,1000065,sis,25.273505286542335,-25.169210286542334,0.46842105263157896,0.2,0.45,0.13036875,comp_only
20,lorentzian_like_3d,1000086,sis,26.751588588680804,-26.703993588680802,0.41578947368421054,0.2,0.3,0.05949375,comp_only
20,lorentzian_like_3d,1000090,sis,27.30681494973496,-27.21453494973496,0.4105263157894737,0.2,0.35,0.11534999999999998,comp_only
20,lorentzian_like_3d,1000100,sis,27.3186951744984,-27.2611151744984,0.4105263157894737,0.2,0.35,0.07197499999999998,comp_only
20,lorentzian_like_3d,1000169,sis,26.18909036704033,-26.094195367040328,0.4263157894736842,0.2,0.35,0.11861875,comp_only
20,lorentzian_like_2d,1000000,sis,20.52147653207397,-20.47840764318508,0.4842105263157895,0.3,0.25,0.05383611111111112,comp_height
20,lorentzian_like_2d,1000002,sis,19.247306655750247,-19.2014157373829,0.5210526315789473,0.35,0.2,0.057363647959183674,comp_height
20,lorentzian_like_2d,1000003,sis,21.4254369153926,-21.361034693170378,0.4842105263157895,0.3,0.3,0.08050277777777776,comp_height
20,lorentzian_like_2d,1000004,sis,20.307090538965323,-20.239614983409766,0.5578947368421052,0.3,0.3,0.08434444444444444,comp_height
20,lorentzian_like_2d,1000006,sis,21.72003697416742,-21.67354197416742,0.4789473684210526,0.25,0.3,0.05811875,comp_height
20,lorentzian_like_2d,1000007,sis,21.097639455247293,-21.038991394022805,0.5736842105263158,0.35,0.25,0.07331007653061225,comp_height
20,lorentzian_like_3d,1000189,sis,24.84277275507075,-24.77877275507075,0.42105263157894735,0.25,0.3,0.08,comp_height
20,lorentzian_like_3d,1000322,sis,26.6780310496804,-26.585251049680398,0.43157894736842106,0.25,0.4,0.11597500000000002,comp_height
20,lorentzian_like_3d,1000543,sis,25.74669876290019,-25.67532376290019,0.4473684210526316,0.25,0.3,0.08921875,comp_height
20,lorentzian_like_3d,1000561,sis,26.004809575057944,-25.946729575057944,0.43157894736842106,0.25,0.25,0.0726,comp_height
20,lorentzian_like_3d,1000613,sis,26.32772330555831,-26.22612330555831,0.42105263157894735,0.25,0.4,0.12700000000000003,comp_height
20,lorentzian_like_3d,1000694,sis,25.026380051181402,-24.9521050511814,0.4473684210526316,0.25,0.35,0.09284374999999999,comp_height
20,lorentzian_like_2d,1000000,sis,20.52147653207397,-20.47840764318508,0.4842105263157895,0.3,0.25,0.05383611111111112,comp_height_width
20,lorentzian_like_2d,1000002,sis,19.247306655750247,-19.2014157373829,0.5210526315789473,0.35,0.2,0.057363647959183674,comp_height_width
20,lorentzian_like_2d,1000003,sis,21.4254369153926,-21.361034693170378,0.4842105263157895,0.3,0.3,0.08050277777777776,comp_height_width
20,lorentzian_like_2d,1000004,sis,20.307090538965323,-20.239614983409766,0.5578947368421052,0.3,0.3,0.08434444444444444,comp_height_width
20,lorentzian_like_2d,1000006,sis,21.72003697416742,-21.67354197416742,0.4789473684210526,0.25,0.3,0.05811875,comp_height_width
20,lorentzian_like_2d,1000007,sis,21.097639455247293,-21.038991394022805,0.5736842105263158,0.35,0.25,0.07331007653061225,comp_height_width
20,lorentzian_like_3d,1000189,sis,24.84277275507075,-24.77877275507075,0.42105263157894735,0.25,0.3,0.08,comp_height_width
20,lorentzian_like_3d,1000543,sis,25.74669876290019,-25.67532376290019,0.4473684210526316,0.25,0.3,0.08921875,comp_height_width
20,lorentzian_like_3d,1000561,sis,26.004809575057944,-25.946729575057944,0.43157894736842106,0.25,0.25,0.0726,comp_height_width
30,lorentzian_like_2d,1500000,sis,42.502214314303735,-42.44537579578522,0.46206896551724136,0.2,0.23333333333333334,0.07104814814814815,comp_only
30,lorentzian_like_2d,1500001,sis,38.00075306211491,-37.95847432187807,0.5011494252873563,0.23333333333333334,0.2,0.05284842529604436,comp_only
30,lorentzian_like_2d,1500002,sis,39.23758099657213,-39.19182025583139,0.46206896551724136,0.26666666666666666,0.2,0.05720092592592594,comp_only
30,lorentzian_like_2d,1500004,sis,40.0504046375551,-39.99023171742408,0.49885057471264366,0.23333333333333334,0.23333333333333334,0.07521615016376922,comp_only
30,lorentzian_like_2d,1500005,sis,36.44708324314851,-36.3885522277794,0.5287356321839081,0.23333333333333334,0.26666666666666666,0.07316376921138826,comp_only
30,lorentzian_like_2d,1500006,sis,40.89312432711058,-40.82500679624638,0.5080459770114942,0.2,0.26666666666666666,0.08514691358024692,comp_only
30,lorentzian_like_3d,1500108,sis,46.76988958980242,-46.71263131819748,0.45057471264367815,0.2,0.26666666666666666,0.07157283950617285,comp_only
30,lorentzian_like_2d,1500001,sis,38.00075306211491,-37.95847432187807,0.5011494252873563,0.23333333333333334,0.2,0.05284842529604436,comp_height
30,lorentzian_like_2d,1500002,sis,39.23758099657213,-39.19182025583139,0.46206896551724136,0.26666666666666666,0.2,0.05720092592592594,comp_height
30,lorentzian_like_2d,1500004,sis,40.0504046375551,-39.99023171742408,0.49885057471264366,0.23333333333333334,0.23333333333333334,0.07521615016376922,comp_height
30,lorentzian_like_2d,1500005,sis,36.44708324314851,-36.3885522277794,0.5287356321839081,0.23333333333333334,0.26666666666666666,0.07316376921138826,comp_height
30,lorentzian_like_2d,1500007,sis,36.90339842671351,-36.863101908698894,0.4850574712643678,0.23333333333333334,0.2,0.05037064751826656,comp_height
30,lorentzian_like_2d,1500010,sis,37.441421678867734,-37.40352562948502,0.46436781609195404,0.26666666666666666,0.16666666666666666,0.047370061728395065,comp_height
30,lorentzian_like_2d,1500001,sis,38.00075306211491,-37.95847432187807,0.5011494252873563,0.23333333333333334,0.2,0.05284842529604436,comp_height_width
30,lorentzian_like_2d,1500002,sis,39.23758099657213,-39.19182025583139,0.46206896551724136,0.26666666666666666,0.2,0.05720092592592594,comp_height_width
30,lorentzian_like_2d,1500004,sis,40.0504046375551,-39.99023171742408,0.49885057471264366,0.23333333333333334,0.23333333333333334,0.07521615016376922,comp_height_width
30,lorentzian_like_2d,1500005,sis,36.44708324314851,-36.3885522277794,0.5287356321839081,0.23333333333333334,0.26666666666666666,0.07316376921138826,comp_height_width
30,lorentzian_like_2d,1500007,sis,36.90339842671351,-36.863101908698894,0.4850574712643678,0.23333333333333334,0.2,0.05037064751826656,comp_height_width
30,lorentzian_like_2d,1500010,sis,37.441421678867734,-37.40352562948502,0.46436781609195404,0.26666666666666666,0.16666666666666666,0.047370061728395065,comp_height_width
