config,n,gamma,lor4d_rank,lor4d_raw_score,top1_family,top1_score,gap_to_top1,interval_weight,total_families
baseline_5x5,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,5.0,17
baseline_5x5,10,0.2,2,-11.031607718459293,transitive_percolation,-11.205377953174876,0.17377023471558317,5.0,17
baseline_5x5,10,0.5,4,-8.842024590900255,lorentzian_like_3d,-9.398817758602236,0.5567931677019811,5.0,17
baseline_5x5,10,1.0,14,-5.192719378301861,multi_layer_random,-7.897215487883102,2.7044961095812408,5.0,17
baseline_5x5,10,2.0,15,2.1058910468949277,KR_like,-6.379791792935416,8.485682839830343,5.0,17
baseline_5x5,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,5.0,17
baseline_5x5,20,0.2,2,-32.76494449758644,lorentzian_like_5d,-33.48011945499009,0.7151749574036472,5.0,17
baseline_5x5,20,0.5,1,-31.465883149001236,lorentzian_like_4d,-31.465883149001236,0.0,5.0,17
baseline_5x5,20,1.0,1,-29.300780901359225,lorentzian_like_4d,-29.300780901359225,0.0,5.0,17
baseline_5x5,20,2.0,3,-24.970576406075203,lorentzian_like_3d,-26.007283123582233,1.0367067175070304,5.0,17
baseline_5x5,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,5.0,17
baseline_5x5,40,0.2,3,-85.51190048938884,lorentzian_like_5d,-90.88063981076922,5.368739321380389,5.0,17
baseline_5x5,40,0.5,3,-84.48596916426727,lorentzian_like_5d,-89.19038259522031,4.704413430953039,5.0,17
baseline_5x5,40,1.0,3,-82.77608362239799,lorentzian_like_5d,-86.37328723597216,3.597203613574166,5.0,17
baseline_5x5,40,2.0,2,-79.35631253865944,lorentzian_like_5d,-80.73909651747583,1.3827839788163914,5.0,17
interval_0.0,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,0.0,17
interval_0.0,10,0.2,3,-11.781362602720417,lorentzian_like_5d,-12.01510900119033,0.23374639846991307,0.0,17
interval_0.0,10,0.5,2,-10.71641180155307,KR_2layer,-11.073285913360772,0.3568741118077021,0.0,17
interval_0.0,10,1.0,3,-8.941493799607489,KR_2layer,-10.120583399150995,1.1790895995435058,0.0,17
interval_0.0,10,2.0,12,-5.391657795716326,KR_2layer,-8.215178370731442,2.8235205750151158,0.0,17
interval_0.0,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,0.0,17
interval_0.0,20,0.2,3,-33.296502761828854,lorentzian_like_5d,-34.38241795840863,1.0859151965797764,0.0,17
interval_0.0,20,0.5,3,-32.79477880960728,lorentzian_like_5d,-33.609640173340956,0.8148613637336766,0.0,17
interval_0.0,20,1.0,3,-31.95857222257132,KR_2layer,-32.76859329146937,0.8100210688980525,0.0,17
interval_0.0,20,2.0,2,-30.286159048499393,KR_2layer,-31.56635444145889,1.2801953929594987,0.0,17
interval_0.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,0.0,17
interval_0.0,40,0.2,3,-85.83747867263239,lorentzian_like_5d,-91.40694600303333,5.56946733040094,0.0,17
interval_0.0,40,0.5,3,-85.29991462237612,lorentzian_like_5d,-90.50614807588059,5.206233453504467,0.0,17
interval_0.0,40,1.0,3,-84.4039745386157,KR_2layer,-89.08904959563323,4.685075057017528,0.0,17
interval_0.0,40,2.0,3,-82.61209437109483,KR_2layer,-87.94625856599407,5.334164194899245,0.0,17
interval_0.5,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,0.5,17
interval_0.5,10,0.2,3,-11.706387114294305,lorentzian_like_5d,-11.91510900119033,0.20872188689602567,0.5,17
interval_0.5,10,0.5,2,-10.528973080487788,KR_2layer,-10.823285913360772,0.2943128328729845,0.5,17
interval_0.5,10,1.0,3,-8.566616357476926,KR_2layer,-9.620583399150995,1.0539670416740687,0.5,17
interval_0.5,10,2.0,15,-4.6419029114552,KR_like,-7.709927663483147,3.068024752027947,0.5,17
interval_0.5,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,0.5,17
interval_0.5,20,0.2,3,-33.24334693540462,lorentzian_like_5d,-34.29218810806678,1.048841172662165,0.5,17
interval_0.5,20,0.5,3,-32.661889243546675,lorentzian_like_5d,-33.384065547486315,0.7221763039396407,0.5,17
interval_0.5,20,1.0,3,-31.692793090450106,KR_2layer,-32.26859329146937,0.5758002010192662,0.5,17
interval_0.5,20,2.0,2,-29.754600784256972,KR_2layer,-30.56635444145889,0.811753657201919,0.5,17
interval_0.5,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,0.5,17
interval_0.5,40,0.2,3,-85.80492085430802,lorentzian_like_5d,-91.35431538380692,5.5493945294988976,0.5,17
interval_0.5,40,0.5,3,-85.21852007656523,lorentzian_like_5d,-90.37457152781457,5.15605145124934,0.5,17
interval_0.5,40,1.0,3,-84.24118544699392,lorentzian_like_5d,-88.74166510116065,4.500479654166725,0.5,17
interval_0.5,40,2.0,3,-82.28651618785129,KR_2layer,-86.94625856599407,4.659742378142781,0.5,17
interval_1.0,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,1.0,17
interval_1.0,10,0.2,3,-11.631411625868193,lorentzian_like_5d,-11.815109001190331,0.18369737532213826,1.0,17
interval_1.0,10,0.5,2,-10.341534359422507,KR_2layer,-10.573285913360772,0.23175155393826508,1.0,17
interval_1.0,10,1.0,5,-8.191738915346363,KR_2layer,-9.120583399150995,0.9288444838046317,1.0,17
interval_1.0,10,2.0,15,-3.892148027194075,KR_like,-7.562134788977843,3.6699867617837683,1.0,17
interval_1.0,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,1.0,17
interval_1.0,20,0.2,3,-33.19019110898037,lorentzian_like_5d,-34.201958257724925,1.0117671487445534,1.0,17
interval_1.0,20,0.5,3,-32.52899967748607,lorentzian_like_5d,-33.15849092163168,0.629491244145612,1.0,17
interval_1.0,20,1.0,2,-31.4270139583289,KR_2layer,-31.76859329146938,0.34157933314047995,1.0,17
interval_1.0,20,2.0,2,-29.223042520014552,KR_2layer,-29.56635444145889,0.3433119214443394,1.0,17
interval_1.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,1.0,17
interval_1.0,40,0.2,3,-85.77236303598367,lorentzian_like_5d,-91.3016847645805,5.529321728596827,1.0,17
interval_1.0,40,0.5,3,-85.13712553075435,lorentzian_like_5d,-90.24299497974854,5.1058694489941985,1.0,17
interval_1.0,40,1.0,3,-84.07839635537215,lorentzian_like_5d,-88.47851200502859,4.400115649656442,1.0,17
interval_1.0,40,2.0,3,-81.96093800460775,KR_2layer,-85.94625856599407,3.9853205613863167,1.0,17
interval_2.0,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,2.0,17
interval_2.0,10,0.2,3,-11.481460649015968,transitive_percolation,-11.644715508881522,0.16325485986555321,2.0,17
interval_2.0,10,0.5,2,-9.966656917291944,KR_2layer,-10.073285913360772,0.10662899606882803,2.0,17
interval_2.0,10,1.0,10,-7.441984031085238,lorentzian_like_3d,-8.73515114180326,1.2931671107180227,2.0,17
interval_2.0,10,2.0,15,-2.3926382586718242,KR_like,-7.266549039967236,4.873910781295412,2.0,17
interval_2.0,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,2.0,17
interval_2.0,20,0.2,3,-33.08387945613189,lorentzian_like_5d,-34.02149855704121,0.9376191009093233,2.0,17
interval_2.0,20,0.5,3,-32.26322054536486,lorentzian_like_5d,-32.7073416699224,0.44412112455754027,2.0,17
interval_2.0,20,1.0,1,-30.89545569408648,lorentzian_like_4d,-30.89545569408648,0.0,2.0,17
interval_2.0,20,2.0,1,-28.159925991529718,lorentzian_like_4d,-28.159925991529718,0.0,2.0,17
interval_2.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,2.0,17
interval_2.0,40,0.2,3,-85.70724739933496,lorentzian_like_5d,-91.19642352612769,5.489176126792728,2.0,17
interval_2.0,40,0.5,3,-84.97433643913259,lorentzian_like_5d,-89.97984188361649,5.005505444483902,2.0,17
interval_2.0,40,1.0,3,-83.75281817212861,lorentzian_like_5d,-87.95220581276449,4.1993876406358766,2.0,17
interval_2.0,40,2.0,3,-81.30978163812067,KR_2layer,-83.94625856599407,2.636476927873403,2.0,17
interval_3.0,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,3.0,17
interval_3.0,10,0.2,3,-11.331509672163744,transitive_percolation,-11.498269656979307,0.1667599848155632,3.0,17
interval_3.0,10,0.5,2,-9.591779475161381,lorentzian_like_3d,-9.702126728667313,0.11034725350593177,3.0,17
interval_3.0,10,1.0,14,-6.692229146824113,lorentzian_like_3d,-8.431842171738186,1.7396130249140729,3.0,17
interval_3.0,10,2.0,15,-0.8931284901495736,KR_like,-6.97096329095663,6.077834800807056,3.0,17
interval_3.0,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,3.0,17
interval_3.0,20,0.2,3,-32.97756780328341,lorentzian_like_5d,-33.84103885635751,0.8634710530741003,3.0,17
interval_3.0,20,0.5,2,-31.99744141324365,lorentzian_like_5d,-32.25619241821313,0.2587510049694828,3.0,17
interval_3.0,20,1.0,1,-30.36389742984406,lorentzian_like_4d,-30.36389742984406,0.0,3.0,17
interval_3.0,20,2.0,1,-27.096809463044877,lorentzian_like_4d,-27.096809463044877,0.0,3.0,17
interval_3.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,3.0,17
interval_3.0,40,0.2,3,-85.64213176268626,lorentzian_like_5d,-91.09116228767486,5.449030524988601,3.0,17
interval_3.0,40,0.5,3,-84.81154734751081,lorentzian_like_5d,-89.71668878748443,4.905141439973619,3.0,17
interval_3.0,40,1.0,3,-83.42723998888508,lorentzian_like_5d,-87.42589962050037,3.998659631615297,3.0,17
interval_3.0,40,2.0,3,-80.6586252716336,lorentzian_like_5d,-82.84432128653226,2.1856960148986673,3.0,17
interval_8.0,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,8.0,17
interval_8.0,10,0.2,2,-10.581754787902618,transitive_percolation,-10.766040397468231,0.18428560956561313,8.0,17
interval_8.0,10,0.5,10,-7.717392264508568,lorentzian_like_3d,-8.94385430350462,1.2264620389960523,8.0,17
interval_8.0,10,1.0,14,-2.9434547255184853,multi_layer_random,-7.66374237409253,4.720287648574045,8.0,17
interval_8.0,10,2.0,14,6.6044203524616805,multi_layer_random,-5.681929218950306,12.286349571411986,8.0,17
interval_8.0,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,8.0,17
interval_8.0,20,0.2,2,-32.446009539040986,lorentzian_like_5d,-32.93874035293895,0.492730813897964,8.0,17
interval_8.0,20,0.5,1,-30.668545752637602,lorentzian_like_4d,-30.668545752637602,0.0,8.0,17
interval_8.0,20,1.0,2,-27.706106108631968,transitive_percolation,-28.428164074337055,0.722057965705087,8.0,17
interval_8.0,20,2.0,7,-21.781226820620688,transitive_percolation,-25.20862067392079,3.427393853300103,8.0,17
interval_8.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,8.0,17
interval_8.0,40,0.2,3,-85.31655357944271,lorentzian_like_5d,-90.56485609541076,5.248302515968049,8.0,17
interval_8.0,40,0.5,3,-83.99760188940196,lorentzian_like_5d,-88.40092330682415,4.403321417422191,8.0,17
interval_8.0,40,1.0,2,-81.79934907266737,lorentzian_like_5d,-84.79436865917982,2.9950195865124556,8.0,17
interval_8.0,40,2.0,2,-77.4028434391982,lorentzian_like_5d,-77.58125936389116,0.1784159246929704,8.0,17
interval_10.0,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,10.0,17
interval_10.0,10,0.2,2,-10.281852834198167,transitive_percolation,-10.473148693663802,0.19129585946563488,10.0,17
interval_10.0,10,0.5,11,-6.967637380247443,random_layered_k8_uniform,-8.68104497661184,1.713407596364397,10.0,17
interval_10.0,10,1.0,14,-1.4439449569962348,multi_layer_random,-7.508093631565482,6.064148674569248,10.0,17
interval_10.0,10,2.0,14,9.60343988950618,multi_layer_random,-5.370631733896211,14.974071623402391,10.0,17
interval_10.0,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,10.0,17
interval_10.0,20,0.2,2,-32.23338623334402,lorentzian_like_5d,-32.577820951571525,0.3444347182275038,10.0,17
interval_10.0,20,0.5,1,-30.13698748839518,lorentzian_like_4d,-30.13698748839518,0.0,10.0,17
interval_10.0,20,1.0,3,-26.642989580147127,transitive_percolation,-28.292836240946535,1.6498466607994082,10.0,17
interval_10.0,20,2.0,13,-19.654993763651014,transitive_percolation,-24.937965007139756,5.282971243488742,10.0,17
interval_10.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,10.0,17
interval_10.0,40,0.2,3,-85.1863223061453,lorentzian_like_5d,-90.35433361850511,5.168011312359809,10.0,17
interval_10.0,40,0.5,3,-83.67202370615843,lorentzian_like_5d,-87.87461711456004,4.202593408401611,10.0,17
interval_10.0,40,1.0,2,-81.1481927061803,lorentzian_like_5d,-83.7417562746516,2.5935635684713105,10.0,17
interval_10.0,40,2.0,1,-76.10053070622403,lorentzian_like_4d,-76.10053070622403,0.0,10.0,17
uniform_0.5x,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,2.5,17
uniform_0.5x,10,0.2,3,-11.761468760978971,transitive_percolation,-12.199255080952629,0.43778631997365736,2.5,17
uniform_0.5x,10,0.5,2,-10.666677197199453,transitive_percolation,-10.708439389286,0.04176219208654608,2.5,17
uniform_0.5x,10,1.0,4,-8.842024590900255,lorentzian_like_3d,-9.398817758602236,0.5567931677019811,2.5,17
uniform_0.5x,10,2.0,14,-5.192719378301861,multi_layer_random,-7.897215487883102,2.7044961095812408,2.5,17
uniform_0.5x,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,2.5,17
uniform_0.5x,20,0.2,3,-33.19796494711484,lorentzian_like_5d,-34.18886130172192,0.9908963546070808,2.5,17
uniform_0.5x,20,0.5,2,-32.548434272822234,lorentzian_like_5d,-33.12574853162416,0.5773142588019269,2.5,17
uniform_0.5x,20,1.0,1,-31.465883149001236,lorentzian_like_4d,-31.465883149001236,0.0,2.5,17
uniform_0.5x,20,2.0,1,-29.300780901359225,lorentzian_like_4d,-29.300780901359225,0.0,2.5,17
uniform_0.5x,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,2.5,17
uniform_0.5x,40,0.2,3,-85.8538775977627,lorentzian_like_5d,-91.44405888261886,5.590181284856158,2.5,17
uniform_0.5x,40,0.5,3,-85.34091193520192,lorentzian_like_5d,-90.5989302748444,5.25801833964249,2.5,17
uniform_0.5x,40,1.0,3,-84.48596916426727,lorentzian_like_5d,-89.19038259522031,4.704413430953039,2.5,17
uniform_0.5x,40,2.0,3,-82.77608362239799,lorentzian_like_5d,-86.37328723597216,3.597203613574166,2.5,17
uniform_2.0x,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,10.0,17
uniform_2.0x,10,0.2,2,-9.571885633419935,lorentzian_like_3d,-9.713536464001077,0.14165083058114192,10.0,17
uniform_2.0x,10,0.5,14,-5.192719378301861,multi_layer_random,-7.897215487883102,2.7044961095812408,10.0,17
uniform_2.0x,10,1.0,15,2.1058910468949277,KR_like,-6.379791792935416,8.485682839830343,10.0,17
uniform_2.0x,10,2.0,15,16.703111897288508,KR_like,-3.9025050486950748,20.605616945983584,10.0,17
uniform_2.0x,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,10.0,17
uniform_2.0x,20,0.2,2,-31.898903598529635,lorentzian_like_5d,-32.06263576152641,0.16373216299677296,10.0,17
uniform_2.0x,20,0.5,1,-29.300780901359225,lorentzian_like_4d,-29.300780901359225,0.0,10.0,17
uniform_2.0x,20,1.0,3,-24.970576406075203,lorentzian_like_3d,-26.007283123582233,1.0367067175070304,10.0,17
uniform_2.0x,20,2.0,14,-16.310167415507163,KR_like,-22.045066162587222,5.734898747080059,10.0,17
